,Laptop,Current Price,Rating,Actual Price,Discount
654,Acer Extensa Intel Core i3 N305,"₹26,490",4.1,"₹42,999",38% off
655,CHUWI Intel Celeron Quad Core 12th Gen N100,"₹19,990",3.4,"₹34,990",42% off
656,Lenovo Intel Core i5 11th Gen 1135G7,"₹41,066",4.1,"₹66,470",38% off
657,HP 255G9 AMD Ryzen 3 Dual Core AMD Ryzen3 3250,"₹24,990",4.2,"₹44,911",44% off
658,AXL Intel Celeron Dual Core 9th Gen,"₹16,980",4,"₹33,990",50% off
659,ASUS ROG Strix G15 AMD Ryzen 7 Octa Core 6800HS,"₹74,990",4.3,"₹1,17,990",36% off
660,SAMSUNG Galaxy Book 2 Intel Core i5 12th Gen 1235U,"₹44,990",4.3,"₹82,990",45% off
661,HP 15s Intel Core i3 12th Gen 1215U,"₹37,527",4.2,"₹56,261",33% off
662,DELL Intel Core i3 12th Gen 1215U,"₹36,290",4.2,"₹50,724",28% off
663,Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U,"₹31,990",4.1,"₹47,490",32% off
664,Acer TravelMate P2 Intel Core i7 11th Gen 1165G7,"₹47,990",3.6,"₹99,000",51% off
665,ASUS Vivobook 15 AMD Ryzen 7 Octa Core 5800HS,"₹49,990",4.1,"₹82,990",39% off
666,Lenovo IdeaPad 1 AMD Athlon Dual Core 7120U,"₹28,990",4.2,"₹43,790",33% off
667,ASUS Vivobook Go 14 (2023) Intel Intel Core i3 12th Gen N305,"₹35,990",4,"₹50,990",29% off
668,ASUS Vivobook Pro 15 OLED For Creator AMD Ryzen 7 Octa Core 5800HS,"₹67,990",4.2,"₹94,990",28% off
669,HP AMD Ryzen 3 Quad Core 5300U,"₹35,960",4.2,"₹47,142",23% off
670,walker Intel Celeron Dual Core N4020,"₹12,990",3.8,"₹30,000",56% off
671,DELL Intel Core i5 12th Gen 1235U,"₹46,990",4,"₹72,180",34% off
672,ASUS TUF Gaming F15,"₹49,990",4.3,"₹75,990",34% off
673,CHUWI Intel Celeron Dual Core 11th Gen N4020,"₹17,990",3.7,"₹34,990",48% off
674,DELL Inspiron Intel Core i3 12th Gen 1215U,"₹64,499",4,"₹79,999",19% off
675,ASUS Vivobook Go 15 Intel Celeron Dual Core N4020,"₹19,990",4.1,"₹33,990",41% off
676,ASUS Vivobook 15 Intel Core i3 11th Gen 1115G4,"₹31,990",4.3,"₹49,990",36% off
677,HP 14s Intel Core i3 11th Gen 1115G4,"₹34,990",4.3,"₹49,509",29% off
678,Acer Extensa Intel Core i3 N305,"₹26,490",4.1,"₹42,999",38% off
679,CHUWI Intel Celeron Quad Core 12th Gen N100,"₹19,990",3.4,"₹34,990",42% off
680,Lenovo Intel Core i5 11th Gen 1135G7,"₹41,066",4.1,"₹66,470",38% off
681,HP 255G9 AMD Ryzen 3 Dual Core AMD Ryzen3 3250,"₹24,990",4.2,"₹44,911",44% off
682,AXL Intel Celeron Dual Core 9th Gen,"₹16,980",4,"₹33,990",50% off
683,ASUS ROG Strix G15 AMD Ryzen 7 Octa Core 6800HS,"₹74,990",4.3,"₹1,17,990",36% off
684,SAMSUNG Galaxy Book 2 Intel Core i5 12th Gen 1235U,"₹44,990",4.3,"₹82,990",45% off
685,HP 15s Intel Core i3 12th Gen 1215U,"₹37,527",4.2,"₹56,261",33% off
686,DELL Intel Core i3 12th Gen 1215U,"₹36,290",4.2,"₹50,724",28% off
687,Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U,"₹31,990",4.1,"₹47,490",32% off
688,Acer TravelMate P2 Intel Core i7 11th Gen 1165G7,"₹47,990",3.6,"₹99,000",51% off
689,ASUS Vivobook 15 AMD Ryzen 7 Octa Core 5800HS,"₹49,990",4.1,"₹82,990",39% off
690,Lenovo IdeaPad 1 AMD Athlon Dual Core 7120U,"₹28,990",4.2,"₹43,790",33% off
691,ASUS Vivobook Go 14 (2023) Intel Intel Core i3 12th Gen N305,"₹35,990",4,"₹50,990",29% off
692,ASUS Vivobook Pro 15 OLED For Creator AMD Ryzen 7 Octa Core 5800HS,"₹67,990",4.2,"₹94,990",28% off
693,HP AMD Ryzen 3 Quad Core 5300U,"₹35,960",4.2,"₹47,142",23% off
694,walker Intel Celeron Dual Core N4020,"₹12,990",3.8,"₹30,000",56% off
695,DELL Intel Core i5 12th Gen 1235U,"₹46,990",4,"₹72,180",34% off
696,ASUS TUF Gaming F15,"₹49,990",4.3,"₹75,990",34% off
697,CHUWI Intel Celeron Dual Core 11th Gen N4020,"₹17,990",3.7,"₹34,990",48% off
698,DELL Inspiron Intel Core i3 12th Gen 1215U,"₹64,499",4,"₹79,999",19% off
699,ASUS Vivobook Go 15 Intel Celeron Dual Core N4020,"₹19,990",4.1,"₹33,990",41% off
700,ASUS Vivobook 15 Intel Core i3 11th Gen 1115G4,"₹31,990",4.3,"₹49,990",36% off
701,HP 14s Intel Core i3 11th Gen 1115G4,"₹34,990",4.3,"₹49,509",29% off
702,Acer Extensa Intel Core i3 N305,"₹26,490",4.1,"₹42,999",38% off
703,CHUWI Intel Celeron Quad Core 12th Gen N100,"₹19,990",3.4,"₹34,990",42% off
704,Lenovo Intel Core i5 11th Gen 1135G7,"₹41,066",4.1,"₹66,470",38% off
705,HP 255G9 AMD Ryzen 3 Dual Core AMD Ryzen3 3250,"₹24,990",4.2,"₹44,911",44% off
706,AXL Intel Celeron Dual Core 9th Gen,"₹16,980",4,"₹33,990",50% off
707,ASUS ROG Strix G15 AMD Ryzen 7 Octa Core 6800HS,"₹74,990",4.3,"₹1,17,990",36% off
708,SAMSUNG Galaxy Book 2 Intel Core i5 12th Gen 1235U,"₹44,990",4.3,"₹82,990",45% off
709,HP 15s Intel Core i3 12th Gen 1215U,"₹37,527",4.2,"₹56,261",33% off
710,DELL Intel Core i3 12th Gen 1215U,"₹36,290",4.2,"₹50,724",28% off
711,Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U,"₹31,990",4.1,"₹47,490",32% off
712,Acer TravelMate P2 Intel Core i7 11th Gen 1165G7,"₹47,990",3.6,"₹99,000",51% off
713,ASUS Vivobook 15 AMD Ryzen 7 Octa Core 5800HS,"₹49,990",4.1,"₹82,990",39% off
714,Lenovo IdeaPad 1 AMD Athlon Dual Core 7120U,"₹28,990",4.2,"₹43,790",33% off
715,ASUS Vivobook Go 14 (2023) Intel Intel Core i3 12th Gen N305,"₹35,990",4,"₹50,990",29% off
716,ASUS Vivobook Pro 15 OLED For Creator AMD Ryzen 7 Octa Core 5800HS,"₹67,990",4.2,"₹94,990",28% off
717,HP AMD Ryzen 3 Quad Core 5300U,"₹35,960",4.2,"₹47,142",23% off
718,walker Intel Celeron Dual Core N4020,"₹12,990",3.8,"₹30,000",56% off
719,DELL Intel Core i5 12th Gen 1235U,"₹46,990",4,"₹72,180",34% off
720,ASUS TUF Gaming F15,"₹49,990",4.3,"₹75,990",34% off
721,CHUWI Intel Celeron Dual Core 11th Gen N4020,"₹17,990",3.7,"₹34,990",48% off
722,DELL Inspiron Intel Core i3 12th Gen 1215U,"₹64,499",4,"₹79,999",19% off
723,ASUS Vivobook Go 15 Intel Celeron Dual Core N4020,"₹19,990",4.1,"₹33,990",41% off
724,ASUS Vivobook 15 Intel Core i3 11th Gen 1115G4,"₹31,990",4.3,"₹49,990",36% off
725,HP 14s Intel Core i3 11th Gen 1115G4,"₹34,990",4.3,"₹49,509",29% off
726,Acer Extensa Intel Core i3 N305,"₹26,490",4.1,"₹42,999",38% off
727,CHUWI Intel Celeron Quad Core 12th Gen N100,"₹19,990",3.4,"₹34,990",42% off
728,Lenovo Intel Core i5 11th Gen 1135G7,"₹41,066",4.1,"₹66,470",38% off
729,HP 255G9 AMD Ryzen 3 Dual Core AMD Ryzen3 3250,"₹24,990",4.2,"₹44,911",44% off
730,AXL Intel Celeron Dual Core 9th Gen,"₹16,980",4,"₹33,990",50% off
731,ASUS ROG Strix G15 AMD Ryzen 7 Octa Core 6800HS,"₹74,990",4.3,"₹1,17,990",36% off
732,SAMSUNG Galaxy Book 2 Intel Core i5 12th Gen 1235U,"₹44,990",4.3,"₹82,990",45% off
733,HP 15s Intel Core i3 12th Gen 1215U,"₹37,527",4.2,"₹56,261",33% off
734,DELL Intel Core i3 12th Gen 1215U,"₹36,290",4.2,"₹50,724",28% off
735,Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U,"₹31,990",4.1,"₹47,490",32% off
736,Acer TravelMate P2 Intel Core i7 11th Gen 1165G7,"₹47,990",3.6,"₹99,000",51% off
737,ASUS Vivobook 15 AMD Ryzen 7 Octa Core 5800HS,"₹49,990",4.1,"₹82,990",39% off
738,Lenovo IdeaPad 1 AMD Athlon Dual Core 7120U,"₹28,990",4.2,"₹43,790",33% off
739,ASUS Vivobook Go 14 (2023) Intel Intel Core i3 12th Gen N305,"₹35,990",4,"₹50,990",29% off
740,ASUS Vivobook Pro 15 OLED For Creator AMD Ryzen 7 Octa Core 5800HS,"₹67,990",4.2,"₹94,990",28% off
741,HP AMD Ryzen 3 Quad Core 5300U,"₹35,960",4.2,"₹47,142",23% off
742,walker Intel Celeron Dual Core N4020,"₹12,990",3.8,"₹30,000",56% off
743,DELL Intel Core i5 12th Gen 1235U,"₹46,990",4,"₹72,180",34% off
744,ASUS TUF Gaming F15,"₹49,990",4.3,"₹75,990",34% off
745,CHUWI Intel Celeron Dual Core 11th Gen N4020,"₹17,990",3.7,"₹34,990",48% off
746,DELL Inspiron Intel Core i3 12th Gen 1215U,"₹64,499",4,"₹79,999",19% off
747,ASUS Vivobook Go 15 Intel Celeron Dual Core N4020,"₹19,990",4.1,"₹33,990",41% off
748,ASUS Vivobook 15 Intel Core i3 11th Gen 1115G4,"₹31,990",4.3,"₹49,990",36% off
749,HP 14s Intel Core i3 11th Gen 1115G4,"₹34,990",4.3,"₹49,509",29% off
750,Acer Extensa Intel Core i3 N305,"₹26,490",4.1,"₹42,999",38% off
751,CHUWI Intel Celeron Quad Core 12th Gen N100,"₹19,990",3.4,"₹34,990",42% off
752,Lenovo Intel Core i5 11th Gen 1135G7,"₹41,066",4.1,"₹66,470",38% off
753,HP 255G9 AMD Ryzen 3 Dual Core AMD Ryzen3 3250,"₹24,990",4.2,"₹44,911",44% off
754,AXL Intel Celeron Dual Core 9th Gen,"₹16,980",4,"₹33,990",50% off
755,ASUS ROG Strix G15 AMD Ryzen 7 Octa Core 6800HS,"₹74,990",4.3,"₹1,17,990",36% off
756,SAMSUNG Galaxy Book 2 Intel Core i5 12th Gen 1235U,"₹44,990",4.3,"₹82,990",45% off
757,HP 15s Intel Core i3 12th Gen 1215U,"₹37,527",4.2,"₹56,261",33% off
758,DELL Intel Core i3 12th Gen 1215U,"₹36,290",4.2,"₹50,724",28% off
759,Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U,"₹31,990",4.1,"₹47,490",32% off
760,Acer TravelMate P2 Intel Core i7 11th Gen 1165G7,"₹47,990",3.6,"₹99,000",51% off
761,ASUS Vivobook 15 AMD Ryzen 7 Octa Core 5800HS,"₹49,990",4.1,"₹82,990",39% off
762,Lenovo IdeaPad 1 AMD Athlon Dual Core 7120U,"₹28,990",4.2,"₹43,790",33% off
763,ASUS Vivobook Go 14 (2023) Intel Intel Core i3 12th Gen N305,"₹35,990",4,"₹50,990",29% off
764,ASUS Vivobook Pro 15 OLED For Creator AMD Ryzen 7 Octa Core 5800HS,"₹67,990",4.2,"₹94,990",28% off
765,HP AMD Ryzen 3 Quad Core 5300U,"₹35,960",4.2,"₹47,142",23% off
766,walker Intel Celeron Dual Core N4020,"₹12,990",3.8,"₹30,000",56% off
767,DELL Intel Core i5 12th Gen 1235U,"₹46,990",4,"₹72,180",34% off
768,ASUS TUF Gaming F15,"₹49,990",4.3,"₹75,990",34% off
769,CHUWI Intel Celeron Dual Core 11th Gen N4020,"₹17,990",3.7,"₹34,990",48% off
770,DELL Inspiron Intel Core i3 12th Gen 1215U,"₹64,499",4,"₹79,999",19% off
771,ASUS Vivobook Go 15 Intel Celeron Dual Core N4020,"₹19,990",4.1,"₹33,990",41% off
772,ASUS Vivobook 15 Intel Core i3 11th Gen 1115G4,"₹31,990",4.3,"₹49,990",36% off
773,HP 14s Intel Core i3 11th Gen 1115G4,"₹34,990",4.3,"₹49,509",29% off
774,Acer Extensa Intel Core i3 N305,"₹26,490",4.1,"₹42,999",38% off
775,CHUWI Intel Celeron Quad Core 12th Gen N100,"₹19,990",3.4,"₹34,990",42% off
776,Lenovo Intel Core i5 11th Gen 1135G7,"₹41,066",4.1,"₹66,470",38% off
777,HP 255G9 AMD Ryzen 3 Dual Core AMD Ryzen3 3250,"₹24,990",4.2,"₹44,911",44% off
778,AXL Intel Celeron Dual Core 9th Gen,"₹16,980",4,"₹33,990",50% off
779,ASUS ROG Strix G15 AMD Ryzen 7 Octa Core 6800HS,"₹74,990",4.3,"₹1,17,990",36% off
780,SAMSUNG Galaxy Book 2 Intel Core i5 12th Gen 1235U,"₹44,990",4.3,"₹82,990",45% off
781,HP 15s Intel Core i3 12th Gen 1215U,"₹37,527",4.2,"₹56,261",33% off
782,DELL Intel Core i3 12th Gen 1215U,"₹36,290",4.2,"₹50,724",28% off
783,Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U,"₹31,990",4.1,"₹47,490",32% off
784,Acer TravelMate P2 Intel Core i7 11th Gen 1165G7,"₹47,990",3.6,"₹99,000",51% off
785,ASUS Vivobook 15 AMD Ryzen 7 Octa Core 5800HS,"₹49,990",4.1,"₹82,990",39% off
786,Lenovo IdeaPad 1 AMD Athlon Dual Core 7120U,"₹28,990",4.2,"₹43,790",33% off
787,ASUS Vivobook Go 14 (2023) Intel Intel Core i3 12th Gen N305,"₹35,990",4,"₹50,990",29% off
788,ASUS Vivobook Pro 15 OLED For Creator AMD Ryzen 7 Octa Core 5800HS,"₹67,990",4.2,"₹94,990",28% off
789,HP AMD Ryzen 3 Quad Core 5300U,"₹35,960",4.2,"₹47,142",23% off
790,walker Intel Celeron Dual Core N4020,"₹12,990",3.8,"₹30,000",56% off
791,DELL Intel Core i5 12th Gen 1235U,"₹46,990",4,"₹72,180",34% off
792,ASUS TUF Gaming F15,"₹49,990",4.3,"₹75,990",34% off
793,CHUWI Intel Celeron Dual Core 11th Gen N4020,"₹17,990",3.7,"₹34,990",48% off
794,DELL Inspiron Intel Core i3 12th Gen 1215U,"₹64,499",4,"₹79,999",19% off
795,ASUS Vivobook Go 15 Intel Celeron Dual Core N4020,"₹19,990",4.1,"₹33,990",41% off
796,ASUS Vivobook 15 Intel Core i3 11th Gen 1115G4,"₹31,990",4.3,"₹49,990",36% off
797,HP 14s Intel Core i3 11th Gen 1115G4,"₹34,990",4.3,"₹49,509",29% off
798,Acer Extensa Intel Core i3 N305,"₹26,490",4.1,"₹42,999",38% off
799,CHUWI Intel Celeron Quad Core 12th Gen N100,"₹19,990",3.4,"₹34,990",42% off
800,Lenovo Intel Core i5 11th Gen 1135G7,"₹41,066",4.1,"₹66,470",38% off
801,HP 255G9 AMD Ryzen 3 Dual Core AMD Ryzen3 3250,"₹24,990",4.2,"₹44,911",44% off
802,AXL Intel Celeron Dual Core 9th Gen,"₹16,980",4,"₹33,990",50% off
803,ASUS ROG Strix G15 AMD Ryzen 7 Octa Core 6800HS,"₹74,990",4.3,"₹1,17,990",36% off
804,SAMSUNG Galaxy Book 2 Intel Core i5 12th Gen 1235U,"₹44,990",4.3,"₹82,990",45% off
805,HP 15s Intel Core i3 12th Gen 1215U,"₹37,527",4.2,"₹56,261",33% off
806,DELL Intel Core i3 12th Gen 1215U,"₹36,290",4.2,"₹50,724",28% off
807,Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U,"₹31,990",4.1,"₹47,490",32% off
808,Acer TravelMate P2 Intel Core i7 11th Gen 1165G7,"₹47,990",3.6,"₹99,000",51% off
809,ASUS Vivobook 15 AMD Ryzen 7 Octa Core 5800HS,"₹49,990",4.1,"₹82,990",39% off
810,Lenovo IdeaPad 1 AMD Athlon Dual Core 7120U,"₹28,990",4.2,"₹43,790",33% off
811,ASUS Vivobook Go 14 (2023) Intel Intel Core i3 12th Gen N305,"₹35,990",4,"₹50,990",29% off
812,ASUS Vivobook Pro 15 OLED For Creator AMD Ryzen 7 Octa Core 5800HS,"₹67,990",4.2,"₹94,990",28% off
813,HP AMD Ryzen 3 Quad Core 5300U,"₹35,960",4.2,"₹47,142",23% off
814,walker Intel Celeron Dual Core N4020,"₹12,990",3.8,"₹30,000",56% off
815,DELL Intel Core i5 12th Gen 1235U,"₹46,990",4,"₹72,180",34% off
816,ASUS TUF Gaming F15,"₹49,990",4.3,"₹75,990",34% off
817,CHUWI Intel Celeron Dual Core 11th Gen N4020,"₹17,990",3.7,"₹34,990",48% off
818,DELL Inspiron Intel Core i3 12th Gen 1215U,"₹64,499",4,"₹79,999",19% off
819,ASUS Vivobook Go 15 Intel Celeron Dual Core N4020,"₹19,990",4.1,"₹33,990",41% off
820,ASUS Vivobook 15 Intel Core i3 11th Gen 1115G4,"₹31,990",4.3,"₹49,990",36% off
821,HP 14s Intel Core i3 11th Gen 1115G4,"₹34,990",4.3,"₹49,509",29% off
822,Acer Extensa Intel Core i3 N305,"₹26,490",4.1,"₹42,999",38% off
823,CHUWI Intel Celeron Quad Core 12th Gen N100,"₹19,990",3.4,"₹34,990",42% off
824,Lenovo Intel Core i5 11th Gen 1135G7,"₹41,066",4.1,"₹66,470",38% off
825,HP 255G9 AMD Ryzen 3 Dual Core AMD Ryzen3 3250,"₹24,990",4.2,"₹44,911",44% off
826,AXL Intel Celeron Dual Core 9th Gen,"₹16,980",4,"₹33,990",50% off
827,ASUS ROG Strix G15 AMD Ryzen 7 Octa Core 6800HS,"₹74,990",4.3,"₹1,17,990",36% off
828,SAMSUNG Galaxy Book 2 Intel Core i5 12th Gen 1235U,"₹44,990",4.3,"₹82,990",45% off
829,HP 15s Intel Core i3 12th Gen 1215U,"₹37,527",4.2,"₹56,261",33% off
830,DELL Intel Core i3 12th Gen 1215U,"₹36,290",4.2,"₹50,724",28% off
831,Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U,"₹31,990",4.1,"₹47,490",32% off
832,Acer TravelMate P2 Intel Core i7 11th Gen 1165G7,"₹47,990",3.6,"₹99,000",51% off
833,ASUS Vivobook 15 AMD Ryzen 7 Octa Core 5800HS,"₹49,990",4.1,"₹82,990",39% off
834,Lenovo IdeaPad 1 AMD Athlon Dual Core 7120U,"₹28,990",4.2,"₹43,790",33% off
835,ASUS Vivobook Go 14 (2023) Intel Intel Core i3 12th Gen N305,"₹35,990",4,"₹50,990",29% off
836,ASUS Vivobook Pro 15 OLED For Creator AMD Ryzen 7 Octa Core 5800HS,"₹67,990",4.2,"₹94,990",28% off
837,HP AMD Ryzen 3 Quad Core 5300U,"₹35,960",4.2,"₹47,142",23% off
838,walker Intel Celeron Dual Core N4020,"₹12,990",3.8,"₹30,000",56% off
839,DELL Intel Core i5 12th Gen 1235U,"₹46,990",4,"₹72,180",34% off
840,ASUS TUF Gaming F15,"₹49,990",4.3,"₹75,990",34% off
841,CHUWI Intel Celeron Dual Core 11th Gen N4020,"₹17,990",3.7,"₹34,990",48% off
842,DELL Inspiron Intel Core i3 12th Gen 1215U,"₹64,499",4,"₹79,999",19% off
843,ASUS Vivobook Go 15 Intel Celeron Dual Core N4020,"₹19,990",4.1,"₹33,990",41% off
844,ASUS Vivobook 15 Intel Core i3 11th Gen 1115G4,"₹31,990",4.3,"₹49,990",36% off
845,HP 14s Intel Core i3 11th Gen 1115G4,"₹34,990",4.3,"₹49,509",29% off
846,Acer Extensa Intel Core i3 N305,"₹26,490",4.1,"₹42,999",38% off
847,CHUWI Intel Celeron Quad Core 12th Gen N100,"₹19,990",3.4,"₹34,990",42% off
848,Lenovo Intel Core i5 11th Gen 1135G7,"₹41,066",4.1,"₹66,470",38% off
849,HP 255G9 AMD Ryzen 3 Dual Core AMD Ryzen3 3250,"₹24,990",4.2,"₹44,911",44% off
850,AXL Intel Celeron Dual Core 9th Gen,"₹16,980",4,"₹33,990",50% off
851,ASUS ROG Strix G15 AMD Ryzen 7 Octa Core 6800HS,"₹74,990",4.3,"₹1,17,990",36% off
852,SAMSUNG Galaxy Book 2 Intel Core i5 12th Gen 1235U,"₹44,990",4.3,"₹82,990",45% off
853,HP 15s Intel Core i3 12th Gen 1215U,"₹37,527",4.2,"₹56,261",33% off
854,DELL Intel Core i3 12th Gen 1215U,"₹36,290",4.2,"₹50,724",28% off
855,Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U,"₹31,990",4.1,"₹47,490",32% off
856,Acer TravelMate P2 Intel Core i7 11th Gen 1165G7,"₹47,990",3.6,"₹99,000",51% off
857,ASUS Vivobook 15 AMD Ryzen 7 Octa Core 5800HS,"₹49,990",4.1,"₹82,990",39% off
858,Lenovo IdeaPad 1 AMD Athlon Dual Core 7120U,"₹28,990",4.2,"₹43,790",33% off
859,ASUS Vivobook Go 14 (2023) Intel Intel Core i3 12th Gen N305,"₹35,990",4,"₹50,990",29% off
860,ASUS Vivobook Pro 15 OLED For Creator AMD Ryzen 7 Octa Core 5800HS,"₹67,990",4.2,"₹94,990",28% off
861,HP AMD Ryzen 3 Quad Core 5300U,"₹35,960",4.2,"₹47,142",23% off
862,walker Intel Celeron Dual Core N4020,"₹12,990",3.8,"₹30,000",56% off
863,DELL Intel Core i5 12th Gen 1235U,"₹46,990",4,"₹72,180",34% off
864,ASUS TUF Gaming F15,"₹49,990",4.3,"₹75,990",34% off
865,CHUWI Intel Celeron Dual Core 11th Gen N4020,"₹17,990",3.7,"₹34,990",48% off
866,DELL Inspiron Intel Core i3 12th Gen 1215U,"₹64,499",4,"₹79,999",19% off
867,ASUS Vivobook Go 15 Intel Celeron Dual Core N4020,"₹19,990",4.1,"₹33,990",41% off
868,ASUS Vivobook 15 Intel Core i3 11th Gen 1115G4,"₹31,990",4.3,"₹49,990",36% off
869,HP 14s Intel Core i3 11th Gen 1115G4,"₹34,990",4.3,"₹49,509",29% off
870,Acer Extensa Intel Core i3 N305,"₹26,490",4.1,"₹42,999",38% off
871,CHUWI Intel Celeron Quad Core 12th Gen N100,"₹19,990",3.4,"₹34,990",42% off
872,Lenovo Intel Core i5 11th Gen 1135G7,"₹41,066",4.1,"₹66,470",38% off
873,HP 255G9 AMD Ryzen 3 Dual Core AMD Ryzen3 3250,"₹24,990",4.2,"₹44,911",44% off
874,AXL Intel Celeron Dual Core 9th Gen,"₹16,980",4,"₹33,990",50% off
875,ASUS ROG Strix G15 AMD Ryzen 7 Octa Core 6800HS,"₹74,990",4.3,"₹1,17,990",36% off
876,SAMSUNG Galaxy Book 2 Intel Core i5 12th Gen 1235U,"₹44,990",4.3,"₹82,990",45% off
877,HP 15s Intel Core i3 12th Gen 1215U,"₹37,527",4.2,"₹56,261",33% off
878,DELL Intel Core i3 12th Gen 1215U,"₹36,290",4.2,"₹50,724",28% off
879,Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U,"₹31,990",4.1,"₹47,490",32% off
880,Acer TravelMate P2 Intel Core i7 11th Gen 1165G7,"₹47,990",3.6,"₹99,000",51% off
881,ASUS Vivobook 15 AMD Ryzen 7 Octa Core 5800HS,"₹49,990",4.1,"₹82,990",39% off
882,Lenovo IdeaPad 1 AMD Athlon Dual Core 7120U,"₹28,990",4.2,"₹43,790",33% off
883,ASUS Vivobook Go 14 (2023) Intel Intel Core i3 12th Gen N305,"₹35,990",4,"₹50,990",29% off
884,ASUS Vivobook Pro 15 OLED For Creator AMD Ryzen 7 Octa Core 5800HS,"₹67,990",4.2,"₹94,990",28% off
885,HP AMD Ryzen 3 Quad Core 5300U,"₹35,960",4.2,"₹47,142",23% off
886,walker Intel Celeron Dual Core N4020,"₹12,990",3.8,"₹30,000",56% off
887,DELL Intel Core i5 12th Gen 1235U,"₹46,990",4,"₹72,180",34% off
888,ASUS TUF Gaming F15,"₹49,990",4.3,"₹75,990",34% off
889,CHUWI Intel Celeron Dual Core 11th Gen N4020,"₹17,990",3.7,"₹34,990",48% off
890,DELL Inspiron Intel Core i3 12th Gen 1215U,"₹64,499",4,"₹79,999",19% off
891,ASUS Vivobook Go 15 Intel Celeron Dual Core N4020,"₹19,990",4.1,"₹33,990",41% off
892,ASUS Vivobook 15 Intel Core i3 11th Gen 1115G4,"₹31,990",4.3,"₹49,990",36% off
893,HP 14s Intel Core i3 11th Gen 1115G4,"₹34,990",4.3,"₹49,509",29% off
894,Acer Extensa Intel Core i3 N305,"₹26,490",4.1,"₹42,999",38% off
895,CHUWI Intel Celeron Quad Core 12th Gen N100,"₹19,990",3.4,"₹34,990",42% off
896,Lenovo Intel Core i5 11th Gen 1135G7,"₹41,066",4.1,"₹66,470",38% off
897,HP 255G9 AMD Ryzen 3 Dual Core AMD Ryzen3 3250,"₹24,990",4.2,"₹44,911",44% off
898,AXL Intel Celeron Dual Core 9th Gen,"₹16,980",4,"₹33,990",50% off
899,ASUS ROG Strix G15 AMD Ryzen 7 Octa Core 6800HS,"₹74,990",4.3,"₹1,17,990",36% off
900,SAMSUNG Galaxy Book 2 Intel Core i5 12th Gen 1235U,"₹44,990",4.3,"₹82,990",45% off
901,HP 15s Intel Core i3 12th Gen 1215U,"₹37,527",4.2,"₹56,261",33% off
902,DELL Intel Core i3 12th Gen 1215U,"₹36,290",4.2,"₹50,724",28% off
903,Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U,"₹31,990",4.1,"₹47,490",32% off
904,Acer TravelMate P2 Intel Core i7 11th Gen 1165G7,"₹47,990",3.6,"₹99,000",51% off
905,ASUS Vivobook 15 AMD Ryzen 7 Octa Core 5800HS,"₹49,990",4.1,"₹82,990",39% off
906,Lenovo IdeaPad 1 AMD Athlon Dual Core 7120U,"₹28,990",4.2,"₹43,790",33% off
907,ASUS Vivobook Go 14 (2023) Intel Intel Core i3 12th Gen N305,"₹35,990",4,"₹50,990",29% off
908,ASUS Vivobook Pro 15 OLED For Creator AMD Ryzen 7 Octa Core 5800HS,"₹67,990",4.2,"₹94,990",28% off
909,HP AMD Ryzen 3 Quad Core 5300U,"₹35,960",4.2,"₹47,142",23% off
910,walker Intel Celeron Dual Core N4020,"₹12,990",3.8,"₹30,000",56% off
911,DELL Intel Core i5 12th Gen 1235U,"₹46,990",4,"₹72,180",34% off
912,ASUS TUF Gaming F15,"₹49,990",4.3,"₹75,990",34% off
913,CHUWI Intel Celeron Dual Core 11th Gen N4020,"₹17,990",3.7,"₹34,990",48% off
914,DELL Inspiron Intel Core i3 12th Gen 1215U,"₹64,499",4,"₹79,999",19% off
915,ASUS Vivobook Go 15 Intel Celeron Dual Core N4020,"₹19,990",4.1,"₹33,990",41% off
916,ASUS Vivobook 15 Intel Core i3 11th Gen 1115G4,"₹31,990",4.3,"₹49,990",36% off
917,HP 14s Intel Core i3 11th Gen 1115G4,"₹34,990",4.3,"₹49,509",29% off
918,Acer Extensa Intel Core i3 N305,"₹26,490",4.1,"₹42,999",38% off
919,CHUWI Intel Celeron Quad Core 12th Gen N100,"₹19,990",3.4,"₹34,990",42% off
920,Lenovo Intel Core i5 11th Gen 1135G7,"₹41,066",4.1,"₹66,470",38% off
921,HP 255G9 AMD Ryzen 3 Dual Core AMD Ryzen3 3250,"₹24,990",4.2,"₹44,911",44% off
922,AXL Intel Celeron Dual Core 9th Gen,"₹16,980",4,"₹33,990",50% off
923,ASUS ROG Strix G15 AMD Ryzen 7 Octa Core 6800HS,"₹74,990",4.3,"₹1,17,990",36% off
924,SAMSUNG Galaxy Book 2 Intel Core i5 12th Gen 1235U,"₹44,990",4.3,"₹82,990",45% off
