Title,Artists,Cover Art URL,Release Year
LOVE FOR GUALA,Flipp Dinero,https://i.scdn.co/image/ab67616d00001e02b164878e278ee736452836c7,2019
Love,EKKSTACY,https://i.scdn.co/image/ab67616d00001e027bb13b1c4c49fc1bd3b08577,2020
Love?,Jennifer Lopez,https://i.scdn.co/image/ab67616d00001e02d7b2aa3834b82b1cbe899a48,2011
Love,Amen Dunes,https://i.scdn.co/image/ab67616d00001e02804a193a44cada046d5580fb,2014
Loveless,my bloody valentine,https://i.scdn.co/image/ab67616d00001e020ede770070357575bc050511,1991
FIRST LOVE,"Oscar Ortiz, Edgardo Nuñez",https://i.scdn.co/image/ab67616d00001e02e47439187384e475312992b9,2023
LOVE,Mika Nakashima,https://i.scdn.co/image/ab67616d00001e024bf585b597bb024c29251b8a,2003
Love Lies (with Normani),"Khalid, Normani",https://i.scdn.co/image/ab67616d00001e02dd7eaf261543814a6d715d67,2018
Real Love Baby,Father John Misty,https://i.scdn.co/image/ab67616d00001e02c6ad8b49ea263f4bd2ad57eb,2016
Love,Yosuf,https://i.scdn.co/image/ab67616d00001e02c7bce73fdf0963b4b26d9793,2023
Love Stuff,Elle King,https://i.scdn.co/image/ab67616d00001e02eb5a4a3ad6b9548ce4ca2c03,2015
The Truth About Love,P!nk,https://i.scdn.co/image/ab67616d00001e029d0f0d226987b449808e7b6f,2012
Love,Love,https://i.scdn.co/image/ab67616d00001e02a44333f2b91b35cbde87d19e,1966
Loveworm,beabadoobee,https://i.scdn.co/image/ab67616d00001e02ceca3ef39ab8f9b59acff394,2019
Love,Finding Hope,https://i.scdn.co/image/ab67616d00001e02fa7dde9b03552892394216b5,2017
Love/Hate,The-Dream,https://i.scdn.co/image/ab67616d00001e02c0272c5b4cba114ea0fb9e5c,2007
Pray 4 Love (Deluxe),Rod Wave,https://i.scdn.co/image/ab67616d00001e02b3d45b74fdf99c9cc88497d3,2020
love,Tatli,https://i.scdn.co/image/ab67616d00001e0265dc28d8a4e68e1fed2b3cc2,2023
Lovers Rock,Sade,https://i.scdn.co/image/ab67616d00001e0220fc6951e4d293707de2434c,2000
A Love Letter To You 3,Trippie Redd,https://i.scdn.co/image/ab67616d00001e02048720225cecc2f638987a39,2018
Love,Francois Klark,https://i.scdn.co/image/ab67616d00001e02068042aa05c8d06e658aa1ac,2018
lovestrong.,Christina Perri,https://i.scdn.co/image/ab67616d00001e0226a2f5224465a369f8abbf88,2011
FutureSex/LoveSounds,Justin Timberlake,https://i.scdn.co/image/ab67616d00001e02c6ba98fd3f3b396a6c6f7091,2006
Love,Daniel Kruglov,https://i.scdn.co/image/ab67616d00001e02e7a7ffb6c6d5112c13d82d5d,2021
Love Is a Four Letter Word (Deluxe Edition),Jason Mraz,https://i.scdn.co/image/ab67616d00001e0246e379c721504777a62bd9b8,2012
LOVE,Thegiornalisti,https://i.scdn.co/image/ab67616d00001e0227a2587be32a2d089de18529,2018
Love Songs 4 the Streets 2,Lil Durk,https://i.scdn.co/image/ab67616d00001e028c20f9fe5d480d13f980edc2,2019
Love,Shaquees,https://i.scdn.co/image/ab67616d00001e02b1ca8df50bb5132240c4b299,2021
Love,BarbWalters,https://i.scdn.co/image/ab67616d00001e024568f8134c1138fdbd544883,2023
One Love (Deluxe),David Guetta,https://i.scdn.co/image/ab67616d00001e02b2e43ed3850e072831f7b2c6,2009
LOVE (triple j Like A Version),CHVRCHES,https://i.scdn.co/image/ab67616d00001e024246154ff7df8dbee7e47cb5,2018
LOVE,The Lumineers,https://i.scdn.co/image/ab67616d00001e02446e64f0e4f82e3d6bfb22c8,2021
Good News For People Who Love Bad News,Modest Mouse,https://i.scdn.co/image/ab67616d00001e02cc68329bfbf34037df965dc1,2004
Love,Kevin Yazzie,https://i.scdn.co/image/ab67616d00001e02dfbe060d8595962c551add6c,2010
